tag,comments
Misandry,Atithamari ille unmaiyave palani payana atikanum
None-of-the-above,Akshayan Kogularam  ada idhu oru paarisalan cringaana🤣🤣🤣🤣
Counter-speech,Seenu Gowtham  Ama ama nanba .Ivanunga vaznthu anubavichutu..namala vazha vidama pandranga...
None-of-the-above,Itha naiya vera pesa vekurinha chek nai pecha paru panada thuuu
Misandry,krish Anand :girlsa mathikakuda tharila unnoda amma kittaum sis kittaum poi endha words use pannu poriki😤
None-of-the-above,Vandhadhu vandutanga...; Avangala pottu thalupu pa...😤😜😆
None-of-the-above,Nagarani Ramesh  lemon la manjal vechi eluthi21 days pooja room la vasiyam panitunga akka
None-of-the-above,Antha anbu than katavul; ..... 🙏🙏🙏
Misandry,Enda h raja thevadiya naye ni yarukku porantha naye
None-of-the-above,Jai anna vera level na neenga jai anna fans
None-of-the-above,Nice questions  nice answers.
Misandry,H raja yen sunny da....
None-of-the-above,Mathu Suthanan apro nee poi paatiya ....
None-of-the-above,giri dharan  naan solli nee podaporiya...unn ariva valathukoo..intha Mari loosu Simon kuda poona unlife waste aaidum....This time I vote for Rajini  (first) else not decided...
None-of-the-above,Velavan  i am Tirupur district
None-of-the-above,Kevalamana concept da dei...  idiot fellow
Counter-speech,Neenga solradhu  ponnu veetu point of view. Aana adhuku mathavanga edhuku kova padanum. Avanga parents kita avanga kekranga. Evano oruthan dowry ngra perla kaasa pidungradha Vida sondha Appa Amma kita urimaya kekradhu onnum thappu illaye.
None-of-the-above,Seethanam kedgapadathu athu thappu  pennai pettava  than pillaikku ethai kodukkavirumpi kodukkiralo athai  etcave'ndiyathuthan
None-of-the-above,Ye husband 1 paiya 5 ponnu ippo solluga 😐mudiyala
None-of-the-above,Unga phone number kedailuma plz innum itha paththi podanum
Misandry,Hindu Muslim Christian tamilnadu nu  vantha yellarumay tamilan dha....jallikattu protest and vellameetpu ku nee vanthiya etcha theruporukki pannada parathesi naaya
None-of-the-above,Ni ipdi pesiye nanum indha oorla irukenda apdinu appapo prove pandra
Misogyny,Channel endra perula....ella ladieskim naaku podudruthu la oru polappa
None-of-the-above,A daddy Kuda mottu pathulu pakkuraga😂😂😂
Misandry,Aandaal unakku thaayaaa???; ; History theriyuma unakku... ; ; ; Loosu koothi h. Raja... ; Thevidiyaaa koothi...
Misogyny,Pongaa dii dashhh saniiyangala .......
None-of-the-above,0:49 ryming TR  minjidichi 😂😂😂
None-of-the-above,Anitha Anitha  ile adu poorekure poolene choise
None-of-the-above,Oru valiya puthu Mike vangitinga pola
None-of-the-above,Nee gethu da... Kaalaku; ; You are speaking real tamil desiyum
None-of-the-above,madhavaraj madhavaraj  ungaloda thu thainga
None-of-the-above,Sir I like ur voice👌👍
Transphobic,Ithungala adakka public mariyadaya kaapatha oru sattam venum.
Misandry,Poda punda movana ne antha vella Karan alula
Misogyny,0:55 un purusen oduruvan . Ne ipdi pesitu irunthena
None-of-the-above,Soman Nair wow enna oru kandupidipu.. varalaaru theiyadha veenaragalin pechu idhu
None-of-the-above,Kodu pota sattai ku oru kuska
Transphobic,999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999 potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta potta
None-of-the-above,Next video tomorrow ve podura nu sollidu innum video podala
Xenophobia,Avan mattum enkaila kidacha avagala kolapanniduva antha chappa mokkan
Hope-Speech,Akka semma ninga nalla iruppinga 🙏🙏🙏🙏🙏🙏🙏
None-of-the-above,Ayy Ar  ninga ivvalavu anba  pesunatilaye enakku pati sariyagirucci.itutan unmaiyana natpirku adaiyalam.i am very love at you.ippave ungala katti pudicci lip kiss adikkanum pola irukku.so miss you.thanks a lot.ummmmmmah.
None-of-the-above,En husband katta kuda thiruntha mattanga....
None-of-the-above,omae wa mou shindeiru  ippolam yarukitaiyum poidatha safe ah iru corona vanthu sethutatha neeyi
Misandry,Indha thevdiya paiyan echa rajavai seruppal adikkanum...
Misandry,Super Anna arumai Anna Ean kanavarum annathikkam pidithavar than
Misandry,Gh Wb  Pol sappi thevidiya payale vada potta... vanthu en Pola Nalla sappu... appadiye un sutha kaattu.... kilichiduven
Misandry,priya priya  yenda dei potta perula irukkira potta payala...gigolo baadu paiya....ooran poolukku sootha koduthu 377 pannittu vaada koothi
Hope-Speech,Andha akka ungala samy nu sonnagala ana unmaiya andha akka manasukku avnga dha Samy neenga dhan avangala Samy nu kupudanum
None-of-the-above,anna naan coimbatore than oru naal kandippa ungala pollachikku vanthu parpen .
None-of-the-above,Avunga avunga istam ithalam 😂
Counter-speech,Gay iruntha enna avangalukku pidichavanga kooda avanga valuranga it's love only intha ulagathula paliyal balathakaram pandravanungunnadi ithu onnum thappu illaye
None-of-the-above,Ena da ippadilam panuribga ena entha prank ha kandupudicha thuu
None-of-the-above,Counselling ungaluku thaan theva. Unga mindset laam maaranum..
None-of-the-above,Babu Natarajan  u from age
None-of-the-above,Mani M  entha ooru Machi
Xenophobia,ulagha nadugalil ulla Ella anugundum kondu poi chinala podanum virus ellam alingirum
None-of-the-above,Community certificate yann kodokkranga athaa kekka mattanunga
Xenophobia,China mela oru Bomb podanum appodhan endha virus varadhu 😁
None-of-the-above,Pls call me da nre
Counter-speech,Bro unga mindset thappu.. Unga wife apudi solrangana unga v2 la yethana avangala paathichirukum.. Neenga porumaiya solli puriya vainga.. Unga wife kum parents iruku avangalum parents ah vittutu than vanthurukanga.. So neenga avanga parents ah mathinga avanga unga parents ah mathipanga.. Life enjoy pani vaazha than.. Sandaikaga ila.. Happy life bro .. Equal relationship is best..
None-of-the-above,Parthaa   like pannaama iruppena
None-of-the-above,Gowtham M  bro naa paiya bro
Misandry,H raja unakku seekrame seruppadi kadekkum
None-of-the-above,SUMMA ERUNGADA  {edavudu pannitey erukkinga}; 😤😤😤😤😤😤😤😤😤😤; CHEY😤😤😤
Hope-Speech,Valthukkal malini ... Nerya yethirpukalai kadanthu vandhu oru vishayam saathichirukeenga ... Menmelum valvil vettri pera yenathu valthukkal... Anbu ullam konda makkal kandipa ungalaiyum ungal karuthukalyum yethupanga ... Ippadi onnu irukunu arthaku iyarkai thaan karanamnu yarukum theriyathu ... Inni karu sidhypu kurayattum manitha kulandhyaigalai kaka vandha dheyvangalae ungalai nallaya ulagam pottrattum....
None-of-the-above,Fact ah pesuda innum varala
None-of-the-above,P. Nagaraj _ 43  nagu hai dah
None-of-the-above,Bro avanga manasu ennanu eppa puryuthu bro
None-of-the-above,Kan kalanga vaitha nanbarukku mutual vanakkam
Counter-speech,Varusathuku 360 podavaiya ne kaliyana pana varathuku 1podavathan katuva Yana comfortable la illanu soli methee 6nal night illa night dress la suthuva ethula kolantha poranthdiche na unaku antha 1podavikum vala erukathu Yana kata time erukathu athuku ya ma athana podava
Misandry,Nen enda punda adichikka sollittu vedikkapakkura onna kilikkanumda
None-of-the-above,Bro make a video about Princess quajar
None-of-the-above,Ea pombala item illa ya... Call boys illaya... Avangalauku pudicha partner ha avanga choose panna urima irukku
None-of-the-above,sk   bro number irruka illaya soluga
Hope-Speech,Really... Ippa thirunangaigal mela mariyathai varuthu... 🙏🙏🙏🙏🙏🙏😔😔
None-of-the-above,Mr mooditu unga velya paarunga. Unha bedroom la yaarum vandhu etti pakalala so inha vandhu neega echa tanam panna matinganu namabaran. 😂🤣🤣🤣
None-of-the-above,Oru naal bustand la Ninutu Irunthen ; Yaarune Theriyala Oru Akka Nethila Thiruneer vachu unmela kannu neraya iruku saami Amma va Suthi poda sollunu sonnanga♥️ Bustand full ah enatha pakuranunga😹but avanga manasuthaan kadavul💕
Xenophobia,Otha neenga kandatha kaluthaiya thinnuttu engala enda savadikureenga.
Hope-Speech,Akka vera level kaa..aludhuten kaa
Transphobic,F*** program dai ponuga correct ah peasuna Kuda support pannalam loose maari peasura avaluku poi support panra poda neeum unnoda programum
None-of-the-above,Kalla parthu dog 🐕 kolacha kalluku pain varuma illa dog ku vai valikuma
None-of-the-above,harihara shankar  mmm fine bro nenga nalla irukingala bro
None-of-the-above,RAJU RAJAN  Enna Ohoo.. adi venuma👋👋
None-of-the-above,Palani baba ilama poitaru... Irundhu irundha ena nadandhu irukum
None-of-the-above,Ada mutta pasangaley our kadhokku our nalla arthamaana mudivu vendome...adhai gavaneengala aria vekkaadugaley...illaina ungala gavanikkavey maattom
Homophobia,kattupaadu pirakradhula enna thappu iruku; ungla oru kattupaatukulla ozhukama  valarkaadhadhu  tha ipa neenga pesuradhuku kaaranmaa ; ; oorinaserkai yerkanave irundhadhu thaa illanu sollalaadhu seyakoodadha ondru enbadhinaala tha adhu vendamnu sollavendi iruku; ; ; nenga solramadhiri paartha yaaru yaaruku vidhi vidhikradhu nu keta edhuvume oru ozhukathula irukaadhu ; ; kattupaadhu pirakradhu edhuku theriyuma oru ozhungu nilaiyila manidhan irukanum ndradhukaaga tha ; ; na edhuku mathavangaluku payapadanum na edhuku enna kattupaduthanum nu ellarum kelvi kettu vazhndha ipa irukradha vida ulagam innum mosama aagividum; ; manidhan thannudaya manadhai sariyaa aalanum manasila vara ella ennangalukum ella unarvugalukkum edam koduthaa avan sariyaana manidhane kedaiyaadhu; ; manidhan sariyaa irukanum ; ; pagatharivu idhuku thaa manidhil varum ennangal sariyaanadha illayanu nidhaanithu paakathaan; ; kadavul pakthi ulla penna neenga irundhinganaa ipadi pesamaatinga  unga manasa sariyaana amaipila nadathi iruppinga
None-of-the-above,He Vijay Sethupathi voice mathiri iruku pa semma
None-of-the-above,Pulaya valakarthu matum eeleenga sir vetu Vela elamae Pani aprm kolanthaingalaum pakrathu than kashtam nega kolanthaya matum pathu kuta vetu Vela avanga saevanga so it becomes easy
Hope-Speech,Amma thaikulama néengalam life la nalla varuvinga
None-of-the-above,Rasini Lina tamil nadu sis
None-of-the-above,Pa inda elaingalku sapadu kudukaringalae anda madri manasu inda olagatoda minute thala
Transphobic,Indha kandaravoligallam innum uyiroda irukkalugala.yendi moodhevikala ungalukku 999999999999999999999999999999999999999999999999999999999999999999999
None-of-the-above,Intha video kagavea un channel subscribe pannen bro....
None-of-the-above,Vijay Sethupathi voice mathiri Iruka
None-of-the-above,Antha manasu thaan sir kadavul
Misogyny,Ponnu yenna peiye tharuvangalaam marriage pannikka
None-of-the-above,Oru ponnu oru aankitta kasu kettu kalyanam panna kalathukum adimatan
None-of-the-above,innocent Raj  sari Yana number solldran yanaku call panu ok va
Misandry,Media maanbu theriyatha mangketta hraja bihari.
None-of-the-above,Prema Kannan  hai bro h r u
Transphobic,Amala  😂etha nama yosikavae ilayae; Yepudi kekuthu 😯
Misandry,Correct bro ellarum yosikka theriyaadhavanga idhula comments vera perumaya pandraanga
None-of-the-above,Condoms illaya bag la 🤔🤣
None-of-the-above,Unnaku information kidaicha sari 😂
Misandry,Dae Cena Devi Nee CHRISTIANITY ku SOMBU thuuka dhaaan laaki ...
None-of-the-above,Karthik Karthik  ll WhatsApp u
None-of-the-above,Hari Prasath u ok means send msg
None-of-the-above,Anthaa man as u than kadavul super akka supar
None-of-the-above,Ayy Ar  enna machi seiyaringa. Romba busya..
None-of-the-above,Pollachi thirunaukarasu mari iruku unka gang poi solren na comment pakravanka keela solunga yarukalam ipdi thonuthunu aprmm kevalama concept and antha aalu moonji ya vera kamichutinka lungi aalu ; ; I'm so expecting you will be in some other place i hope 🖤
Hope-Speech,Sela place pa evangaluku job lam kuduthu erukanga pa... choolaimedu kolapasi take away hotel la transgender work panuranga..  adhukulam manasu venum pa... really Good... pavam
Counter-speech,Ending apdi illaiye ponnudhan ippalam idhellam sambadhichu kudukuranga.
None-of-the-above,I'm ashok from sivakasi nanum ungala mathiri than Bro nanum enga veetla sonnen but nan ninacha mathiri Illa. Veetla enakku pidikkama marriage fix panni enakku kalyanamum pannittanga. Ennoda santhosam ellam pochi Bro. Ippa marriage agi One week aguthu. Nanum elathaium maranthuttu oru puthu valkkai ya arambikka poitten. Ippa wife kooda irukken. Nan santhosama illattium santhosama vala try panren. Unga phone number thanga Bro plssssssss
None-of-the-above,Eppadi amma appavukku phone pannumana kooda wife kku theriyamma pannanum. Appadithane.
None-of-the-above,Smart Subash aduku yellam padil varadu... oru pullai ya pethu partial tanae teryum.
None-of-the-above,Marupadiyum arampitchutanga...; Natta develop panna ellarum onnu serungada...
None-of-the-above,nee naan aval நீ நான் அவள்  unga husband in-laws elarum oru veetla tha erukiglu sister
Misandry,Simon un pechukku unna veliya vittathu periya thappu. ayya H Raja is talking honestly
None-of-the-above,Semmaya alavachintinga ; ; ; Director sir❤️🥺🥺🥺🥺🥺🥺; Semma Vera Level 🤙🏼🔥🔥🔥🔥🔥
Counter-speech,Ponnunave ungaluku veetukula unga pecha ketukitu irunthatha nalarukum enaikum samugam mela vara nengala vidavematinga...
Hope-Speech,😭😭 super akka 😭😭 support puninka frnds thirunankiyika elorikuma support puninka 🙏🙏🙏
None-of-the-above,Mani kanta r Mani aavigal is America Solanki sir  Hi
None-of-the-above,yy sex sa  important da yallarum eppa konduvaringa marriage appa amma evangalam errukaga OK vaa summa sex sex nu peasathinga pls children use pannuranga peasavendiya problem peasura not important this topic
None-of-the-above,dei yenna maithukku da porandha vudanae yenna jadhi nu kettu govt la register panra........
None-of-the-above,Saththiyama alundhutan bro onekage adunage paru angke nikkiragaya respect 🙏❤️❤️❤️❤️❤️thale vere level  nanba
None-of-the-above,adra sakka... ur my sissy...
None-of-the-above,Un friend muslimna avan v2tu ponna ketta katti kuduppana
Hope-Speech,ungal valvil enrum magilchi pongatum🙏🙏🙏🙏🙏🙏🙏
Misandry,Dai h raja dai nee theavadika piradavan than nee.dai poram poku .mohd pathi sayee irutha..un thai irukathu....tamilnadil pilaika vantha waysee mavanea...
Misandry,H.raja nee nalla kudupathula parathavana first sollu porampoku
Xenophobia,10 vayasu avr dever jathi
Misogyny,Transgender ah insult panathinga ..Meera mithun kooda compare Pani😂😂
Misandry,Poda h raja mutta punda
None-of-the-above,Super da. irunthaa oorukku povom.. Illa naa saamikku thaan😏
None-of-the-above,Ovvoru vedio layum romba impresse pandringa Anna..... congratulations 2 perukum... Life long money iruko illayo happy ah irupinga anna.....
Misogyny,3.37 yaru da keera vikkure aayave programme ku koopitu vanthathu
None-of-the-above,Bro part part ah podadheenga bro kadupaagudhu
None-of-the-above,Dei enna da ellaaru comments la support pandreenga ..... Inmel batharamaa dhaa irkkanum poola ungaltta irundhu
None-of-the-above,s.ravikumar s.ravikumar  watap nos send panu bro
None-of-the-above,Podhu makkal ithani nall muttalgala  ippadiye iruppargala avargal thalaividhi idhudana.  Peso kinde iruppargala. Ethanai makkal thirukkural palanai seiiginrargal. Idhu pathumA
None-of-the-above,Bro it's not vaallu pellai it's a vellu pillai
Counter-speech,Avnga kta family support tm kasum irntha unga munja kda paka vndiya avasiym avngluku irunthu irukathu avaga kta kaasum ila velaym ila vra ena taan pna slrnga entha society yea ungala verutha mtm taan avnga nelama ungaluku purium
None-of-the-above,Heart touching video Anna......akka neega dha kadavel
None-of-the-above,Bro pichaikaran prank pannunga onga channel la pannra ellame Vera leval views pothu confirm romba famous aagalam
Misogyny,Dai......ivala ethavathu oru nalla doctor Kitta kotettu pongada......
Misandry,Prashanth Marupaka  apo America karan poola ombhoo
Counter-speech,Avanga Rombha nalavangala erukanga..  But naraiya aangal evargali miss  use Panuranga...
None-of-the-above,Matra  brahmanarghalellam unghal veetu sotril man pottarghala.
None-of-the-above,Thu manam keta polapu ethuku poi pichai yedukalam
Transphobic,Kaila porul pottu po tholla pannuna rendu sorugu sorugi vitru pakkathulaiye varamataainga😄😄😄
Homophobia,Naadu kevalamana future ah noki poi kondu irruku inrathuku intha karumam pidicha theerpu oru yeduthu kaattu !! Ithuku varalatru sirappu mikathu solarathu avanaavanga thoda naadungi thanatha thaan kaatuthu !!
None-of-the-above,Akka love u akka oru Thambi aaa
Misogyny,Gh Wb  ungomma pundaya ennaikku kilikkama vidrathu Ella...vada thevidiya payale...
Counter-speech,Vairamuthu eppadipatta manithar  avrathu navil saravathi kutiyirukiral avarai poi ippati pesalama Enna pecinalum ungalukku pathil sollamattar ennenral avar uyarntha uyarntha uyarntha maithan ungalaipol arasiyal saakkadai Alla avar avarai Patri pesa ungalukku Enna thaguthi irukkirathu?
Homophobia,Smart Subash  neengalam lesbian supporters ah???  Apo un pullainga kandipa gay and lesbian ah dha porakum...
None-of-the-above,H raja நீ  .....
Homophobia,otha thevidiya pullaa... yenn pooluu  sappu da
Misandry,Antal allvarin valarppumagal unnavita manang  kettavan yaar?
None-of-the-above,Bro vara sunday vaallupillai prabakaran birthday appo avarodaya life history pathi podunga please
Misandry,Ivan lam oru appana chiii manangetta k++thiii
None-of-the-above,Vj bubbly looking....she is also awesome...hey transgenders(sorry)elam palaga semmaya irupanga pola...semma...nala palakaranga...
None-of-the-above,Thalaiva gopi rendu side pesuna but TRP onnaku aruchu.... Vera level tha po
Misandry,Porukki naya.IS YOUR SONGS ARE DEVARAM.IT IS PORAMPOKKUKAVITHI..
None-of-the-above,Super bro unga youtube channel nalla vara valthukkal
None-of-the-above,Mention pandradhu thappu nu solra na un kannotathula dha thappu iruku sari senjiko
Homophobia,Suppar mathan. ;  My husband is gay 😔😔😔
None-of-the-above,Bro.  Epadi bro.  Semma bro.  Good acting
Homophobia,Kevalama iruku. Aambalaiyum ambalaiyuma da. Karumam paambum paambum epdi man onnu serum pambu nu onnu irundha pondhu nu onnu irukanum. Loosu
None-of-the-above,Anbu S Anbu   don't believe superstitious beliefs
Counter-speech,Eppavume pengal kanavanin adimaiyaga irukka ninaikranga Pls pengalin manadhaiyum purinjikkonga
Misandry,Avana uyiroda koluthanum pola irukku
None-of-the-above,life experience  next experience epo bro
Misandry,Appo first nyt la un pondatti kitta panrathu mattum punithamaaaa
Counter-speech,Light  unmai than but kandipa kalaam padhil solunm. Silar iruka than seigirargal. Ipadi patavargal manaiviyai izhandha pinbu than vazhvin Artham avargaluku purigiradhu
Hope-Speech,Antha akka number sent pannuka frd ennala muducha help pandren pls
None-of-the-above,inimel Intha loose peti yeddukathinga ji
Counter-speech,Unnoda comments yochiga vaikuthu work panravangalum irukanga intha comments pakkra thirunangai ellorum nam samuthayathukana mariyathai nam thedavendum..nam ulaikga aarambithaal anaivarum namkku magudam sutta thayaara ah iruppargal vallvom vallnthu kaatuvom
None-of-the-above,Anna🥰 super 🥺Naa 🥺Vera level 😓naaa....😎
Xenophobia,Musthaq Ahamed  ennakum antha China va kollapananum pola irrku😡😡😡😡😡😡😡😠😠😠😠😠😠😠😠😠🤬🤬🤬🤬🤬😡😡😡😤😤😤😤😤😤😤😤😤😡😡😡😡😡👊✊✊✊✊✊✊✊👊👊👊✊✊✊✊✊✊✊✊✊✊
Xenophobia,Ceenava olicha elarum nimathia valalam.
None-of-the-above,Kadhayalla Nijam  but so well hidden
Misandry,Eccha mootura Naya mayru raja
None-of-the-above,Good job 👍 bro uae frind
None-of-the-above,Pasanga vena solranga ponnunga venum solranga.......
None-of-the-above,Na vera level na neega vera level😣🤧😁😁
None-of-the-above,Manoj Babu  hi manoj
None-of-the-above,Intha paiyanuku enna vendum. Interviewer bethiyala irukan.
None-of-the-above,Honey Love thappu panunavangalukku mattum than adi..nee Enna thappu panuna😀😀
Counter-speech,Ipo jaathitha mukkiyam...nu.. pesunala.... avan engaiyachum... Kezha vilunthu accident la kadakum pothu.... Jaathi keta ?? help... Kepa. .??... Yendaa daii... Kenapaiyaa.. jaathi matham ithalam orama podungada... Oree.. otrumaiyakuda kekala da... Oru nala manishana vazha kathukongada and kathukudungada
Counter-speech,20 years valakuradhu perusilla. Adu ku apparam unna andha paiyan nee sagura varaikum unna pathukanum.
Xenophobia,sitru arasan  dei loosu payala....pera vache ellathayum solliruveengalo..... Unga annatha seeman kammunaati Enna mayithukku pera maathi vachirukkan....chinna annatha Daniel poramboku Enna mayithukku pera maathi vachirukkan....matrum pala communist baadugalum peyarai short form la vachi Christian peyara Enna mayithukku maraikiraanunga
None-of-the-above,Hiii frds iam karthick I m gay ennku unmaya love pannai marriage pannikanum assay irruku  yarachu irrukaingla
None-of-the-above,Kolai Seibavan Kooda avanukku oru niyayam vaithiruppaan. Adhanaal avan seivadhu sari illai.
None-of-the-above,Yaaruku eppdiyo thalaivanuku trp vandruchu.. 😜😜Padhani padhani..
None-of-the-above,Kelvi kettavarum azhaku pathil sonnavarum rompa azhagu
Hope-Speech,Na buissness panana thirunangai akkavuku first preference yarum kai enthi kasu kaka kudathu avungalum namala mari munuku varanum i support
None-of-the-above,Neengal.oru.kuzhuvaaga.searndu.manida.; Vurimay.comisanidam.muraeedusedu.; Vudavumaaru.nadigar.kamalhaasanidam.; Vudavikealungal.nichayam..vidivupirakkum.; Thirunangaygalay.khodumay.paduthubavargal; Paavamootayai.sumappaargal.❤️😎
None-of-the-above,Velan saravanan  Madurai u bro
None-of-the-above,Ipa ava unakka enna panna😁
Misogyny,Daiii unga TRP kaka antha ponungaluku support panuringala da. Antha ponungalum konjam kuda vetkam illa ma yalam kakuranga thuuuuuuu
Counter-speech,Athu ena da transgender Katrina...just actress kathrina nu pota..namba paka matoma...ninga first marungapa...
None-of-the-above,Yenna Da ipdi asinga paduthiruku neeyum vekkamea illama nikkira😂😀😀😀😂😂😂😂
Misandry,Unga Amma pearu aandaala...goyalla overa peasura....pichakaara naaye veli oorula irundhu ooru poruka vandha naaye ne...unaku yenna thagudhi iruku...yechha payalea
None-of-the-above,Thank you Pari Anna 💖
None-of-the-above,Good job ever bro  💖
Transphobic,Unma dhaan idhunga attagasam naaluku naal adhegama dhaan iruku....
None-of-the-above,Purashanuku adimaiya erukurada vida avan odrathae mel
Misandry,Echa  raja echa raja tham
Misandry,Kalaingar irunthuruntha intha eachai raja iptilam pesirukka mudiyuma.....
None-of-the-above,ayya  anath  thanks
Misandry,daii h raja pundaaaa mavaneyyyy
Misandry,H.raja the mental of tamilnadu sir inga Hindu erukanga but naanga ellam tamilan no other choice only seemanism 🔥🔥🔥🔥
None-of-the-above,anand srinivasan oru sangi. vesham jandhu
None-of-the-above,First ne people la kedukaatha..
None-of-the-above,Sobana.M B.A English  romba ovr pa....mudila...valachu valachu varanga😥😥😥
Hope-Speech,1st time I started liking dem nice amma
None-of-the-above,SRINIVASAN SIR SUPER SIR SUPER SPEACH
None-of-the-above,Sathyama ivungala paatha transgender nu namba mudila
Transphobic,oru ali ku inoru ali support ku vantaan baadu...ipdi unta pesnaa moodinu irupaada punda mavane
Misogyny,Ponnunga nallavangala maranum apo than Corona pokum da
Misandry,Po da su.... I 👽
None-of-the-above,Hindhukale ningale hindhu madhatthai support pannalanna pinnadi romba kashtam
None-of-the-above,Sadam hussain vedio podunga bro
None-of-the-above,Ellarume prank channel ipadiye pandringa part1-2 nu
None-of-the-above,Number ethuku potu irukengà sollunga pls
None-of-the-above,zoom panni paturukingge pole G....hahaha
Misandry,Storm Breaker  aama paraiyan tha naanga perumaiya soluvom... Ni tha gaundan aache... Periya poolu thana 😂 reservation ilamaiyu munerii va da suni... 😂 ilana ambedkar matiri ungaalungal la evanaiyachu paduchu munera solu da gotha 😂 ungaalunga jaathi peruma pesa thaan laaki enga itukulam oomba porainga 😂
Hope-Speech,Bramana makkalil ivar oru sirthiruthavaathy.
Counter-speech,Intro la ivalavu nallavar maathiri solringa apa en transgender endu podu irukiringa ; girl a interview paneka girl endaa poduringa illa thanae
None-of-the-above,Ameer Dheen   phone number
Counter-speech,Kulfi samayal  correct sis sila naathanar apudi than.. Neenga avangala kandukama vidunga .. Apudiyum poruthuka mudiyalana unga naathanar kitta direct ah sollidunga un gala than enaku problem varuthu.. Naanga nimmathiya vaazha vena manu kelunga
None-of-the-above,Sister romba alaga erukinga ☺
None-of-the-above,Ok anna nanum varen yenkum vedio panaum pls ok va anna
Misogyny,03:31 nee paesarathu unnakae crct nu paduthama apadi court la case potu sothu vanganum ah.. excuse nee evalo sothoda irukingarathu mathipi ilama unga veetu function la thai mama nu vanthu morai saenjutu porangalae athu thama ungaluku Sothey.. purunjukonga
Misandry,Poda  daii acha raja
None-of-the-above,Hindu oru Tamil vaarthaiyeah ellai
Homophobia,Homosexual nayungala adikkanum oda oda😠😠😠😠😠😤😤😤😤😤😤😤😤
Counter-speech,Sothu kekuravanga ... Pethavangalukku Enna panni kilichanga nu ivlo dhairiyama varadhatchanai kekuranga
None-of-the-above,Madan ..ghost pathu neenga sonna visyam konjam thappa thenuthu .. Yennoda 16 age lah night 12.30am center road lah oru human shadow ghost pathuruken ithukku neenga yenna soldreenga
None-of-the-above,Karthik Durai  hi ok num pl
None-of-the-above,question kekravar sari illa... athu periya brilliant mathiri pesuthu. .ivar silent ah question mattum kekraru...
None-of-the-above,Apputtu Ammu  ha ha ha
None-of-the-above,Amount vabthuruchu thala semma kan kalankitten nanbaaaaaaaa💞💞💞💞💞💞💞💞💞💞💞💞💞💞💞💕💕💞💕💞💕💞💕💞💕
None-of-the-above,Bro Vera level anda akka super carector
Homophobia,Ivala evan da pethu pottaan?
Misandry,dae echaa Porukki Raaja Muhammad Nabi (Sallalaahoo Alaivasallam) avarkala pesuna un keduketta thalaiya uttu vachirukkom .appadi yaar pesinalum en Nabiya pathi engalukkum thariyum en Maatru matha sagothararukkum theriyum.arivilikal pesuvatharkellam thalaivettravan illa muslim; 5 kku porantha payyan
Misogyny,Eval oru 9 eva namala pathi thappa soltra
None-of-the-above,Jayalalitha irukum pothey ethirpu soli iruka vendiyathu thaana...... Apa pambitu ipa vanthu pesuringa aalu aaluku.... Neenga ellam anikey soli iruntha ipdi lam iniku nadakaama paathu irukalam...
Homophobia,bro fb la gay adhigama aproch panranga trocher panranga
None-of-the-above,Ramaanku venum Chandran  sollunga ur age bro
None-of-the-above,Bro nenga narayaperuku help pandringa bro I appreciate bro nenga entha ooru bro
None-of-the-above,Sir neengala Vera lvl enga irukinga neengala vongala ethana varudam analu matha mudiyathu semma sir
None-of-the-above,Avan avan love life avan avan vaazhndhutu potum 🤷.
None-of-the-above,Idha patha veetla husband abuse neraya nadakudhu pola
Misandry,Sathiyasiva T0509  Unakku therinja Veedu na Avangalum unna mathri Kamatti pundaya tha iruppanga😂😂😂
None-of-the-above,U r so cute ma
None-of-the-above,No she doesn't look like transgender....😍😚😘....cute grl
Misandry,Avaru sunni 7 enge erukum
Misandry,Hindhu hindhu yenru solli matha veriyai thoondi kondu irukkiran HIV
None-of-the-above,johson your name is not tamil
None-of-the-above,I am happy to ; I am gay
Misandry,H raja oounna serupala adippen daa
None-of-the-above,Gunaa OK super okmycellmy gunaa super
None-of-the-above,that is the culture . kurunthogai noolil kooda idhaithan solranga.but nanga adhu kooda kekala.oru ponnu avanga veetla kekuratha ipdi pesuranga.
None-of-the-above,Nariya naarakorhiya poi smell panni lik pannitu vandruka pola🤮
None-of-the-above,munnorgal decision sari ilanu solriya.... Appo dress illama Po.... nalla irukkum...
None-of-the-above,Yenna pro atukapparam pathilai kanoam
Transphobic,Naan oru murai ippadi train LA pogumbhodhu ketanga change illa.. Solliyum torcher pannanga ... En Friends Ratham varamaadhiry vaailayeakuthitaanunga Nalladha pochi illa na indha maadhiri.. Dhaan ketu irukum...
Transphobic,GOOD TAMIL CHANNEL pichchakari Pachchai thayvidiyaa mundaikku pirandha 9 Dhevudiyaa mavan dhanasekar!ungomma aids vandhu pootaalamay di!😁😂😀
None-of-the-above,nee mattum. parliment poi. irundal modi. America .  odividuvar.sivagangai makkaljathi. calavaram. yarpadum.
None-of-the-above,Patha kannirr varuthu yallam eiraivan padaippu yaraiyum yarum Kura solla onum illa all r equal Vera level pathivuuu
None-of-the-above,saran saran  Yara pesathinganu soluringa
None-of-the-above,Tharamattan avan.Mannasai pudichuvan.Ulagame avan keel vara vending endru nenaikiravan.
